STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,SCALING,COMMENTS
HS.NCDEC.UPRT.PCT,,,,,,,discard,,,
HS.NCDEC.RPRT.PCT,,,,,,,discard,,,
HS.NCDEC.MPRT.PCT,,,,,,,discard,,,
HS.NCDEC.FPRT.PCT,,,,,,,discard,,,
HS.NCDEC.FAT.PCT,,,,,,,discard,,,
HS.NCDEC.UFAT.PCT,,,,,,,discard,,,
HS.NCDEC.RFAT.PCT,,,,,,,discard,,,
HS.NCDEC.MFAT.PCT,,,,,,,discard,,,
HS.NCDEC.FFAT.PCT,,,,,,,discard,,,
HS.NCDEC.CRB.PCT,,,,,,,discard,,,
HS.NCDEC.UCRB.PCT,,,,,,,discard,,,
HS.NCDEC.RCRB.PCT,,,,,,,discard,,,
HS.NCDEC.MCRB.PCT,,,,,,,discard,,,
HS.NCDEC.FCRB.PCT,,,,,,,discard,,,
HS.SPC.AP.PCT,,,,,,,discard,,,
HS.SPC.UAP.PCT,,,,,,,discard,,,
HS.SPC.RAP.PCT,,,,,,,discard,,,
HS.SPC.MAP.PCT,,,,,,,discard,,,
HS.SPC.FAP.PCT,,,,,,,discard,,,
CP.D.ATLAS.GNP,,,,,,,sum,0,,
NV.AGR.TOTL.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,0,,
NV.IND.TOTL.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,0,,
NV.SRV.TETC.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,0,,
EA.PRD.AGRI.KD,,,,,,,discard,,,should be weighted by EN.AGR.EMPL that is impossible to download. We cannot compute the aggs weighting by OA.TPBS.POP.PPL.NO…aggs too different
NV.AGR.TOTL.KD,,,,,,,sum,0,,
NV.AGR.TOTL.KD.ZG,,,NV.AGR.TOTL.KD,,,,weighted.mean,0,,
OA.TEAPT.POP.PPL.NO,,,,,,,sum,0,,
GHG.TOT.ALL.GG.NO,,,,,,,sum,0,,
GL.LU.TOT.NERCO2EQ.NO,,,,,,,sum,0,,
GL.FL.NFC.NERCO2EQ.NO,,,,,,,sum,0,,
GL.CL.TOT.NERCO2EQ.NO,,,,,,,sum,0,,
GL.GL.TOT.NERCO2EQ.NO,,,,,,,sum,0,,
