,,,,,,,,Capture production,,,,,,Aquaculture production,,,,,
Continent_en,Continent_code,Geographical _regions_en,Geographical _regions,Join,Country_en,UN_code,Published,"2000
Europe,150,Southern Europe,039,150-039,"Macedonia, Fmr Yug Rp of",807,1,0,0,0,0,,3.7,1,1,1,1,,0.7
Europe,150,Southern Europe,039,150-039,Malta,470,1,1,2,2,0,2,6.2,2,4,4,,4,6.5
Europe,150,Southern Europe,039,150-039,Montenegro,499,1,0,1,2,1,1,,0,1,1,1,0,
Europe,150,Southern Europe,039,150-039,Portugal,620,1,191,198,195,0,195,0.2,8,10,8,0,8,0.4
Europe,150,Southern Europe,039,150-039,San Marino,674,1,0,0,0,0,,,,,,,,
Europe,150,Southern Europe,039,150-039,Serbia,688,1,0,5,5,5,,,0,8,6,6,,
Europe,150,Southern Europe,039,150-039,Serbia and Montenegro,891,0,1,,,,,,4,,,,,
Europe,150,Southern Europe,039,150-039,Slovenia,705,1,2,0,0,0,0,-11.1,1,1,1,1,0,0.3
Europe,150,Southern Europe,039,150-039,Spain,724,1,1056,932,1034,6,1028,-0.2,309,264,224,16,207,-2.5
Europe,150,Western Europe,155,150-155 Total,,,1,1358,1038,1078,17,1062,-1.8,414,282,292,67,225,-2.6
Europe,150,Western Europe,155,150-155,Austria,040,1,0,0,0,0,,-1.7,3,3,3,3,,1.0
Europe,150,Western Europe,155,150-155,Belgium,056,1,30,25,26,0,25,-1.1,2,0,0,0,,-15.4
Europe,150,Western Europe,155,150-155,France,250,1,626,457,493,2,492,-1.8,267,205,202,39,163,-2.1
Europe,150,Western Europe,155,150-155,Germany,276,1,204,208,230,11,219,0.9,66,26,25,20,5,-7.1
Europe,150,Western Europe,155,150-155,Liechtenstein,438,1,0,0,0,0,,,,,,,,
Europe,150,Western Europe,155,150-155,Luxembourg,442,1,0,0,0,0,,,,,,,,
Europe,150,Western Europe,155,150-155,Monaco,492,1,0,0,0,,0,-8.1,,,,,,
Europe,150,Western Europe,155,150-155,Netherlands,528,1,496,347,327,2,326,-3.1,75,46,60,3,57,-1.7
Europe,150,Western Europe,155,150-155,Switzerland,756,1,2,2,2,2,,1.0,1,1,1,1,,1.8
Oceania,009,,,009 Total,,,1,1086,1271,1216,18,1198,0.9,121,181,178,4,174,3.0
