DATA_KEY_PROC,DATA_KEY_CONSTR1,DATA_KEY_CONSTR2,DATA_KEY_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,NAtoZERO,SCALING,COMMENTS,
EN.URB.MCTY.TL.ZS,,,POP.TOT,,,,weighted.mean,,,WB computes aggregates deriving the already aggregated components,
EN.POP.EL5M.ZS,,,POP.TOT,,,,weighted.mean,,,WB doesn't specify this,
SP.POP.TOTL.FE.ZS,,,POP.TOT,,,,weighted.mean,,,,
SP.POP.DPND,,,POP.TOT,,,,weighted.mean,,,,
SP.DYN.LE00.IN,,,POP.TOT,,,,weighted.mean,,,,
SP.DYN.LE00.IN.CH,SP.DYN.LE00.IN,,SP.DYN.LE00.IN,change,11,ch,weighted.mean,,,,
NY.GNP.PCAP.CD,,,POP.TOT,,,,weighted.mean,,,WB computes aggregates deriving the already aggregated components,
SP.DYN.CBRT.IN,,,POP.TOT,,,,weighted.mean,,,used just to compute the mortality rate weight,
MORTWEIGHT,,,,manual,,,sum,,,mortality rate weight ('SP.DYN.CBRT.IN' * 'SP.POP.TOTL')/1000),
SP.DYN.IMRT.IN,,,MORTWEIGHT,,,,weighted.mean,,,,
SH.DYN.MORT,,,MORTWEIGHT,,,,weighted.mean,,,,
CP.D.ATLAS.GNP,,,,,,,sum,,,,
NV.AGR.TOTL.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,,,,
NV.IND.TOTL.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,,,,
NV.SRV.TETC.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,,,,
NE.TRD.GNFS.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,,,,
BX.KLT.DINV.WD.GD.ZS,,,NY.GDP.MKTP.CD,,,,weighted.mean,,,,
NY.GDP.MKTP.CD,,,,,,,sum,,,"in WB seems weighted by CP.$.ATLAS.GNP, but it is a sum!!!",
NY.GNP.MKTP.CD,,,,,,,sum,,,used as weight,
DT.ODA.ALLD.CD,,,,,,,sum,,,,
DT.ODA.ALLD.CD.SH,DT.ODA.ALLD.CD,NY.GNP.MKTP.CD,NY.GNP.MKTP.CD,share,,,weighted.mean,,,,
