STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,MODULE_FSI,MODULE_POU,MODULE_DES,COMMENTS
POUHW,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YPOUHW,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
POUXCBSLE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YPOUXCBSLE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
POUXCBS7LE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YPOUXCBS7LE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
POUXCBSHW,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YPOUXCBSHW,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
NOULE,,,,,,,sum,0,0,,,,DES,
AV3YNOULE,,,,,,,sum,0,0,,,,DES,
NOU7LE,,,,,,,sum,0,0,,,,DES,
AV3YNOU7LE,,,,,,,sum,0,0,,,,DES,
NOUHW,,,,,,,sum,0,0,,,,DES,
AV3YNOUHW,,,,,,,sum,0,0,,,,DES,
NOUXCBSLE,,,,,,,sum,0,0,,,,DES,
AV3YNOUXCBSLE,,,,,,,sum,0,0,,,,DES,
NOUXCBS7LE,,,,,,,sum,0,0,,,,DES,
AV3YNOUXCBS7LE,,,,,,,sum,0,0,,,,DES,
NOUXCBSHW,,,,,,,sum,0,0,,,,DES,
AV3YNOUXCBSHW,,,,,,,sum,0,0,,,,DES,
SH.ANM.CHLD.ZS,,,,,,,discard,,,,FSI,,,
VITAMINA,,,,,,,discard,,,,FSI,,,
IODINE,,,,,,,discard,,,,FSI,,,
SH.PRG.ANEM,,,,,,,discard,,,,FSI,,,
NY.GDP.PCAP.PP.KD,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
